"SnapshotDateKey","UnitCode","CurrentResidentCount","DocumentationItemCount","OutstandingDocumentationItemCount","DueTodayOrEarlierCount","TherapyTreatmentLineCount","TherapyResidentsTreated","TherapyMinutes","PriorityResidentCount","PriorityOutstandingDocCount","PriorityHighestScore","HasTherapyData","HasPriorityData"
"20260405","A","41","54","52","6","84","36","4526","38","52","15","True","True"
"20260405","B","34","23","20","8","15","9","918","11","20","14","True","True"
"20260405","C","33","22","20","2","8","5","417","10","20","12","True","True"
"20260405","D","54","30","29","2","32","17","1802","23","29","13","True","True"
