"SnapshotDateKey","UnitCode","CurrentResidentCount","DocumentationItemCount","OutstandingDocumentationItemCount","DueTodayOrEarlierCount","TherapyTreatmentLineCount","TherapyResidentsTreated","TherapyMinutes","PriorityResidentCount","PriorityOutstandingDocCount","PriorityHighestScore","HasTherapyData","HasPriorityData"
"20260405","A","41","54","52","6","76","34","4375","38","52","13","True","True"
"20260405","B","34","23","20","8","13","8","812","11","20","14","True","True"
"20260405","C","33","22","20","2","7","5","417","10","20","12","True","True"
"20260405","D","54","30","29","2","31","17","1802","23","29","13","True","True"
