ActionName,ActionFile,WorkflowFolder,FlowId,SharedFields,SpecializedFields,Readiness
GenerateOnDemandPatientInsight,GenerateOnDemandPatientInsight.mcs.yml,SNF-Command-Center-GenerateOnDemandPatientInsight-c147cf4b-777b-43b5-8d4a-e00e0c233b49,c147cf4b-777b-43b5-8d4a-e00e0c233b49,"status;summary;confidence;requireshumanreview;datasource;warnings;citations;groundedness_status;verification_status;uncertainty_reason","risklevel;clinicalrecommendation;actionitems;responsibleparty;timeline",automated handoff backend
SendClinicalAlert,SendClinicalAlert.mcs.yml,SNF-Command-Center-SendClinicalAlert-18c14215-a5d0-4570-be82-3047d5fd0b22,18c14215-a5d0-4570-be82-3047d5fd0b22,"status;summary;confidence;requireshumanreview;datasource;warnings;citations;groundedness_status;verification_status;uncertainty_reason","alertid;sentat;responsibleparty;escalationpath;nextstep",automated handoff backend
GenerateQualityMeasureReport,GenerateQualityMeasureReport.mcs.yml,SNF-Command-Center-GenerateQualityMeasureReport-c2ed03e7-6fe4-44b3-a219-25d20cc36548,c2ed03e7-6fe4-44b3-a219-25d20cc36548,"status;summary;confidence;requireshumanreview;datasource;warnings;citations;groundedness_status;verification_status;uncertainty_reason","fileurl;recordcount;refreshedat",automated handoff backend
ExportCareSummary,ExportCareSummary.mcs.yml,SNF-Command-Center-ExportCareSummary-ae053d82-b043-4b7d-92bb-902dba031aa7,ae053d82-b043-4b7d-92bb-902dba031aa7,"status;summary;confidence;requireshumanreview;datasource;warnings;citations;groundedness_status;verification_status;uncertainty_reason","fileurl;pdfurl;recordkey",automated handoff backend
ProcessClinicalFileIntake,ProcessClinicalFileIntake.mcs.yml,SNF-Command-Center-ProcessClinicalFileIntake-bc1d9296-6ea5-4112-8e67-3a901196252c,bc1d9296-6ea5-4112-8e67-3a901196252c,"status;summary;confidence;requireshumanreview;datasource;warnings;citations;groundedness_status;verification_status;uncertainty_reason","extractedsignal;recommendedroute;nextstep",automated handoff backend
ProcessClinicalImageReview,ProcessClinicalImageReview.mcs.yml,SNF-Command-Center-ProcessClinicalImageReview-5e616864-234a-44c7-adb6-748cf1f146df,5e616864-234a-44c7-adb6-748cf1f146df,"status;summary;confidence;requireshumanreview;datasource;warnings;citations;groundedness_status;verification_status;uncertainty_reason","observedconcern;recommendedroute;nextstep",automated handoff backend
